app_id,number_of_downloads,standard,standard_reason
42,50K+,Good Standard,"This privacy policy has been classified as good standard due to the following reasons:
1. Lawfulness, Fairness, and Transparency: The policy clearly states its legal basis for data processing under section 3 (Purpose and legal basis of the processing) with an easy to understand language.
2. Purpose Limitation: The purposes of data collection are clearly defined and limited. It limits the data use based on the purpose stated under section 3 with the prerequisites of receiving consent from the user.
3. Data Minimization: This policy complies with the data minimization principles as it emphasizes on collecting and processing only those data which are necessary. This is highlighted in Section 2 (Data Collection and Processing by AI Chat).
4. Accuracy: The policy provides mechanisms for users to update or correct their data under User's rights making sure the data accuracy is maintained.
5. Storage Limitation: The policy defines clear retention periods in section 7 (Duration of the storage). It states precisely how and why it will retain user data, while also mentioning a process for data deletion.
6. Integrity and Confidentiality: It assured adequate security measures in section 6 (Protection of Personal Information) ensuring the protection and confidentiality of user's data.
Despite the good rating, AI Chat can improve in conveying specific criteria for determining the data retention periods and providing more information on how data will be anonymised after the purpose is fulfilled."
43,50K+,Good Standard,"The Ask GPT Privacy Policy has well-defined sections laying out their legal basis for data processing, the purposes for data collection are clearly defined, and all collected data is necessary. Measures are also in place for ensuring data accuracy and there is a process for users to update or correct their data. The policy outlines clear retention periods and provides criteria for determining these periods. An adequate security measure is described to protect data. Thus, the policy adheres to the key principles of Lawfulness, Fairness and Transparency, Purpose Limitation, Data Minimization, Accuracy, Storage Limitation, and Integrity and Confidentiality as stated in GDPR Article 5. There is also an added emphasis on limiting data collection to what is essential for the stated purpose."
44,50K+,Good Standard,"The privacy policy of The Knowledge Robo app adheres to the Good Standard Assessment criteria. It demonstrates Lawfulness, Fairness, and Transparency by explicitly stating the ways in which they collect, store and use personal information (Sections 2, 3, 5 and 7). It exhibits Purpose Limitation, by stating the purposes of the data use and ensuring consent for the data usage (Sections 2.3, and 3). With regards to Data Minimization, the policy only mentions collecting data which appears necessary for the operation of the app (Sections 2.1 and 2.2). The policy incorporates storage limitations, defining specific protocols for data retention, and outlines the process of data deletion upon user request (Sections 5.1 and 6.4). The Integrity and Confidentiality provision is met with the existence of robust security measures (Section 5). Finally, Accuracy is addressed as the policy acknowledges the rights of users to control their data (Section 6)."
45,50K+,Bad Standard,"While the policy gives information about third-party links and services collecting Personally Identifiable Information and Non-Personally Identifiable Information, it lacks clarity on other key aspects such as the legal basis for data processing and details about storage limitations. Furthermore, it does not provide any information about data accuracy measures, criteria for determining retention periods, or the process for data deletion or anonymization after the purpose is fulfilled. Also, there's no information provided about how they ensure data integrity and confidentiality from their end. All these omissions make it hard to classify the policy as Good standard according to GDPR Article 5."
46,10M+,Bad Standard,"The policy lacks explicit information on requirement standards like purpose limitation, data minimization, accuracy, storage limitation, and integrity and confidentiality. While it states that they are committed to keeping secure any information they obtain, it fails to explain their data processing procedures in a clear, transparent manner. This privacy policy doesn't fully conform to the GDPR Article 5 guidelines hence considered as Bad Standard."
47,10M+,Bad Standard,"The privacy policy fails in several of the required parameters. There isn't a clear mention of the legal basis for data processing asserting Lawfulness, Fairness, and Transparency. The Purpose Limitation isn't sufficiently defined to assure the data will not be used for incompatible purposes without additional consent. The Data Minimization isn't explicitly stated, suggesting there may not be an emphasis on collecting only necessary data. Although it states a commitment to keeping the user's information secure, the policy doesn't detail the security measures taken to ensure Integrity and Confidentiality. Lastly, no specifics about Storage Limitation: determining retention periods and the process for data deletion or anonymization are not clearly laid out."
48,10M+,Good Standard,"The policy is transparent in its language and clearly states how user data is collected, used, and disclosed. This covers the components of lawfulness, fairness, and transparency. They maintain purpose limitation by outlining specific scenarios for data collection and use, and even specific data that will be collected. With regard to data minimization, they collect only relevant and necessary data, focusing on data essential to provide their services. They also allow for data accuracy, facilitating user interactions to update or correct data. The measures for storage limitation are not explicitly mentioned. However, the policy states the use of data anonymization and understanding to fulfill user preferences which indirectly points towards storage limitation. It mentions ‘protecting and respecting user privacy’ hinting at data integrity and confidentiality, however, the security measures or encryption methods are not specifically mentioned. Overall, it maintains a majority of the data principles making it of a Good Standard. Although, it can improve by providing explicit information on storage limitation and data protection mechanisms."
49,10M+,Good Standard,"This privacy policy is considered Good Standard as it addresses all the principles of the GDPR Article 5. It clearly defines the legal basis for data processing, purpose of data collection, data minimization, accuracy, storage limitation, along with integrity and confidentiality. The policy explains which data is collected, how it is used, stored, and who it is shared with. It also clearly outlines the user's rights and includes mechanisms for updating and correcting information. It outlines measures taken to ensure data security including encryption and regular security audits. Retention periods are clearly defined, and processes for data deletion after the purpose is fulfilled are mentioned. It also caters to specific regional data protection frameworks such as the GDPR, CCPA, and CalOPPA making it comprehensive and transparent."
50,10M+,Good Standard,"The Privacy Policy of Codeway Dijital Hizmetler Anonim Şirketi exhibits a clear commitment to the GDPR Article 5 requirements.
- Lawfulness, Fairness, and Transparency: The policy explicitly declares its adherence to Law on Personal Data Protection No. 6698, PDP Law, and other regulations, demonstrating its commitment to lawful and fair processing standards. It provides transparent information about how personal data is handled, such as recording, storing, preserving, and sharing.
- Purpose Limitation: The policy mentions that personal data will be processed in relation to a specified objective, ensuring data isn't used for incompatible purposes without additional consent.
- Data Minimization: The document outlines that data processing will observe a principle of limit and measurement, aligning with the data minimization practice.
- Accuracy: The policy commits to maintain correct and up-to-date personal data.
- Storage Limitation: Although the document does not specify about certain retention periods, it mentions practices concerning recording, storing, and preserving data.
- Integrity and Confidentiality: The policy doesn't specifically mention adequate security measures like encryption or regular security assessments. Therefore, while it satisfies most elements of a good standard privacy policy, it falls short on this particular aspect.
Overall, it is marked as ""Good"" for meeting partially the GDPR's requirements, although more information would be needed on data storage limitation and more explicit information on data security measures."
51,10M+,Good Standard,"The policy clearly states its purposes for data collection, which are limited and defined. It also specifies that only ""necessary"" data will be collected, representing data minimization. The policy includes measures for data accuracy, allowing users to update and correct their data. It defines clear retention periods and criteria for determining these periods, and outlines a process for data deletion or anonymization. Security measures, including encryption and regular assessments, are in place for the protection of data. Thus, adhering to important aspects of GDPR Article 5."
52,10M+,Bad Standard,"The policy does not clearly define its legal basis for data processing, making it troubling under principles of Lawfulness, Fairness, and Transparency. There's no detailed explanation on Data Minimization for what specific data is collected and no mention of any measures or mechanisms for users to update their inaccuracies of their data, which doesn't align with Accuracy standard set by GDPR. While the policy mentions third-party access to Personal Information, it doesn't convincingly speak about strong security measures beyond 'commercially acceptable means', which does not live up to the Integrity and Confidentiality standard. Lastly, though data retention is mentioned, no clear retention period or process for data deletion after the purpose is fulfilled is specified, making it inadequate under the Storage Limitation principle. Overall, the policy needs significant improvements to reach Good Standard GDPR compliance."
53,10M+,Bad Standard,"The policy does not clearly define its legal basis for data processing, making it troubling under principles of Lawfulness, Fairness, and Transparency. There's no detailed explanation on Data Minimization for what specific data is collected and no mention of any measures or mechanisms for users to update their inaccuracies of their data, which doesn't align with Accuracy standard set by GDPR. While the policy mentions third-party access to Personal Information, it doesn't convincingly speak about strong security measures beyond 'commercially acceptable means', which does not live up to the Integrity and Confidentiality standard. Lastly, though data retention is mentioned, no clear retention period or process for data deletion after the purpose is fulfilled is specified, making it inadequate under the Storage Limitation principle. Overall, the policy needs significant improvements to reach Good Standard GDPR compliance."
54,10K+,Bad Standard,"While the policy does show transparency and purpose limitation by clearly listing third-party services and the usage of ChatGPT API, it fails to meet the criteria of Lawfulness, Fairness, Data Minimization, Accuracy, Storage Limitation, and Integrity and Confidentiality.
Specifically, it does not mention the legal basis for processing data at all. The application seems to collect more than just the necessary data, and doesn't outline the user's ability to update or correct their data. There is also no clear retention period defined apart from that of OpenAI's API data, and the policy doesn't talk about the process of data deletion or anonymization once its purpose has been served.
Also, there is no evidence of suitable security measures to ensure data integrity and confidentiality. The assurance that Firebase is GDPR-ready is positive, but it doesn't imply the application's data is properly secured too."
55,10K+,Bad Standard,"xThe document provided is not in English and does not contain any specifics about a privacy policy to assess. The given text only mentions that JavaScript is not enabled in the user's browser, which is not relevant to a privacy policy assessment. Therefore, I cannot evaluate its adherence to Good Standard principles as defined by GDPR Article 5."
56,10K+,Good Standard,"The privacy policy of this Android application is up to standard based on GDPR Article 5 principles. Here’s why:
1. Lawfulness, Fairness, and Transparency: The policy clearly states how the application collects data, the type of data collected, and how it's categorized (Section 1 & 2). It outlines the different ways in which the data is used (Section 3).
2. Purpose Limitation: The application clearly defines the purpose of data usage, such as customer service, improving user experience, facilitating access to the website, and product development, among others (Section 2 & 3).
3. Data Minimization: It collects only necessary data such as name, email, username, password, and purchase information, among others (Section 2).
4. Accuracy: The policy does not explicitly mention the mechanisms for users to update or correct their data, but it encourages users to provide feedback and mentions the storage of data locally on user devices which indicates a possibility to manage data (Section 2).
5. Storage Limitation: The policy does not clearly specify the data retention period or deletion procedures.
6. Integrity and Confidentiality: The application takes measures to secure user's data but does not provide specific practices such as encryption or regular security assessments (Section 2).
However, it's crucial that the application clearly states its data retention, deletion policies, and specific security measures to fully comply with GDPR standards."
57,10K+,Good Standard,"The policy is clear, indicating the types of information collected, how it is used, how users can control their data, and the storage and security measures in place. The policy includes a Table of Contents and provides direct contact information for the company, aiding transparency. It also specifies that data is stored in the US, which is important for GDPR compliance for EEA users. The policy adheres to the principle of data minimization, stating they only collect necessary information, and uses encryption to aid data integrity and confidentiality. The policy has a dedicated section for EEA users, outlines their rights according to the GDPR and provides these users with strict control over their data. Storage limitation is vague but implied through the user's ability to delete their personal data. The policy needs to clearly define the storage period for particular data. For minor improvements, they need to clarify their terms and conditions for data accuracy, and be more specific about how data is used."
58,10K+,Good Standard,"The reasons are as follows:
1. Lawfulness, Fairness, and Transparency: The policy clearly states its legal basis for data processing, uses simple language and makes it easy for users to understand how their data is used.
2. Purpose Limitation: The purposes for data collection are clearly defined and they are not used for incompatible purposes without additional consent.
3. Data Minimization: The policy specifies that only necessary data is collected and there is a focus on limiting data collection to what is essential for the stated purpose.
4. Accuracy: The policy includes mechanisms for users to update or correct their data.
5. Storage Limitation: The policy defines clear retention periods, criteria for determining these periods, and a process for data deletion or anonymization after the purpose is fulfilled.
6. Integrity and Confidentiality: The policy describes adequate security measures to protect data, including practices like encryption and regular security assessments."
59,10K+,Bad Standard,"The policy lacks clarity and transparency in several areas, making it difficult for users to understand exactly how their data will be used (Lawfulness, Fairness, and Transparency). There is no mention of any limitations of purpose, which means the company can potentially use the data for any purpose it sees fit (Purpose Limitation). The amount of data being collected appears to be excessive, including but not limited to email addresses and device identifiers, which should be minimized (Data Minimization). There is no mechanism mentioned for ensuring data accuracy or allowing users to update or correct their data (Accuracy). The policy does not define any clear data retention periods or explain when and how data would be deleted (Storage Limitation). Finally, even though the policy mentions using commercially acceptable means to protect user data, it lacks specifics regarding security measures such as encryption or regular security assessments (Integrity and Confidentiality)."
60,10K+,Good Standard,"The privacy policy document of ATN Marketing clearly provides a comprehensive and understandable outline of how they collect, use, store, protect and disclose user data.
1. They communicate purposes for data collection in various sections like ""Information Automatically Collected"", ""Collection of Personal Data and Method"", ""Categories and Data Types"", and ""How we Use Your Information"".
2. Principles of data minimization, lawful processing, and purposeful use are stated under ""General Principles Regarding Personal Data Processing"" and ""Purposes of Processing Personal Data and Legal Reasons"".
3. The document specifies that user data will be stored for as long it is necessary and will be deleted, destructed or anonymized when no longer needed or valid under ""Retention of Personal Information"".
4. Measures to ensure data accuracy are outlined under ""Personnel"", where users can update or correct their information.
5. The policy"
61,10K+,Bad Standard,"The privacy policy content provided is insufficient to make an accurate assessment. There's nothing to evaluate regarding clarity, purpose limitations, data minimization, data accuracy/storage limitations, and integrity/confidentiality of data."
62,10K+,Bad Standard,"The privacy policy lacks clarity and transparency in areas such as the legal basis for data processing. It is not clear about the purpose limitation – the purposes for data collection are not clearly defined and are too broad. The policy does not ensure that data will not be used for incompatible purposes without obtaining additional consent.
It fails at data minimization as it doesn't explicitly state the data will be collected only for necessary purposes, and it's ambiguous in its approach towards information like Email and Firebase Installation ID. The storage limitation is not defined - it does not provide any detail about the retention period of the data, nor does it state any process for data deletion or anonymization after the purpose is fulfilled.
While it does talk about taking measures towards the integrity and confidentiality of data, the policy does not mention specific practices like encryption or regular security assessments. It merely mentions ""commercially acceptable means of protecting data"", which leaves too much room for interpretation. The policy does not provide any mechanism where users can update or correct their data ensuring accuracy.
Thus, this policy doesn’t meet the criteria for a Good Standard Assessment as per GDPR Article 5."
63,10K+,Bad Standard,"The provided privacy policy has multiple issues related to GDPR article 5 standards. Firstly, for lawfulness, fairness, and transparency, the policy vaguely describes the nature of collected data, without stating its legal basis for data processing. It does not explicitly provide a clear and transparent understanding to users. Purpose limitation standard is also not met, as the policy does not restrict the data collection and usage for defined, explicit, and legitimate purposes. For data minimization, the policy fails to specify the need for collecting only necessary data. The policy lacks mechanisms that ensure data accuracy or allow users to correct their data. It also does not clearly define retention periods, which means it fails in meeting storage limitation. Although the policy mentions safeguarding user's data, it does not explicitly mention encryption or regular security assessments, thus missing the criteria for integrity and confidentiality."
64,10K+,Good Standard,"The privacy policy documents adheres to all the necessary criteria defined for good GDPR assessment.
1. Lawfulness, Fairness, and Transparency: The policy clearly states its legal basis for data processing and is transparent about the activities it performs with the collected data, making it easy for users to understand.
2. Purpose Limitation: The purpose for data acquisition is clearly stated i.e., to improve customer experience and services, and it ensures data is not used for incompatible purposes without consent.
3. Data Minimization: The app has a clear stance on data collection and acquisition, limiting data collection to what is necessary and essential.
4. Accuracy: The policy describes mechanisms for users to delete their data and account, which indirectly affirms accuracy maintenance and updation of user data.
5. Storage Limitation: The policy contains a mechanism for users to delete their data and account. Despite not providing exact retention periods, it does seem to comply with GDPR standards for storage limitation.
6. Integrity and Confidentiality: The policy shows strong regard for data security, employing modern cryptography and appropriate security measures to protect the data. It also clearly states that no personal or sensitive data is sold or shared without the user's consent primarily, ensuring data integrity and confidentiality."
65,10K+,Good Standard,"The privacy policy demonstrates the principles of lawfulness, fairness, and transparency by clearly stating its legal basis for data processing, such as user consent and compliance with the law. It also explicitly states that they do not sell user data to third parties and any disclosure of information is for compliant or business-related reasons only. Furthermore, the policy also describes data minimization, only collecting necessary data and notifying the user about optional data. There are measures in place to manage data accuracy such as allowing users to fill forms or register on their website. Moreover, the retention periods for user data are mentioned referring to the expiration of unused units after 6 months, adhering to the storage limitation. Lastly, it follows the principle of Integrity and Confidentiality by illustrating that they use secure payment systems and undergo continuous compliance assessment. They also allow for changes to the privacy policy and provide a process for users to contact them. However, while the policy has many good points, it could be clearer about the specific measures of data security and more detailed in how they ensure data accuracy. Nonetheless, these are relatively minor points and the policy can be considered a good standard overall."
66,10K+,Bad Standard,"The privacy policy document for PlantCam lacks several key elements that are necessary for a Good Standard assessment, as per GDPR Article 5.
- While there is some degree of transparency, the policy does not clearly state its legal basis for data processing.
- The purposes for data collection are not clearly defined and limited, and it doesn't ensure data is not used for incompatible purposes.
- The policy does not specify collecting only necessary data or limiting data to what is essential.
- There are no clear measures in place to ensure data accuracy. It doesn’t include any mechanisms for users to update or correct their data.
- The policy does not define clear retention periods for data or any process for data deletion or anonymization after the purpose is fulfilled.
- It is not clearly specified what kind of security measures are in place to protect the data."
67,10K+,Bad Standard,"The privacy policy lacks transparency regarding the legal basis for data processing and does not clearly define the purposes for data collection. There is no explicit emphasis on data minimization or assurances regarding the accuracy of data. It doesn't mention any measures for users to update or correct their data. Also, there is no clear information about the retention periods, criteria for these periods, or a process for data deletion or anonymization. Additionally, there is no specific information about the security measures employed to protect user data. Hence, it fails to meet several critical aspects of a Good Standard policy."
68,10K+,Bad Standard,"The document fails to clearly define its legal basis for data processing, as required in the Lawfulness, Fairness, and Transparency principle. Also, it doesn't mention clear retention periods for data storage, nor criteria for these periods, violating the Storage Limitation principle. There's no information about mechanisms allowing users to update or correct their personal data, which shows a lack of measures to ensure data accuracy."
69,10K+,Good Standard,"The privacy policy is transparent with clear definitions and explains how personal data are collected and used. It addresses purpose limitation through explicitly stated uses of personal data like account management, communication, making transactions, etc. It also practices data minimization by stating that only the necessary data is collected and stored, and only for a period necessary for related activities. The policy includes a guide on how users can update, amend, or delete their personal information, thereby fulfilling the accuracy requirement. The policy also identifies its basis for data processing, that is, user consent, and business requirements, ultimately meeting lawfulness, fairness, and transparency requirements. It mentions certain security measures to protect data, like encryption and regular assessments, though it could be more detailed to fully fulfill the integrity and confidentiality criterion. But overall, it can be assessed as a good standard."
70,10K+,Bad Standard,"The privacy policy lacks clarity in several aspects critical to a Good standard. Although it discusses the use and collection of data, it doesn't clearly state the legal basis for processing the data (Lawfulness, Fairness, and Transparency). It doesn’t mention steps for ensuring data accuracy, nor are there specified retention periods or criteria for determining these periods (Storage Limitation). The policy does not mention any measures or steps taken to ensure the security of the collected data (Integrity and Confidentiality). Finally, the policy does not specify minimization of data collection and only refers to not collecting personally identifiable information from children under 13, which is insufficient for a strong data minimization policy (Data Minimization)."
71,10K+,Bad Standard,The document provides no information. There are no sections to review due to the error during processing which prevents an evaluation based on the guideline criteria. Therefore it fails to meet any of the good standard assessment criteria.
72,5M+,Bad Standard,"The policy has several important deficiencies.
1. Lawfulness, Fairness, and Transparency: The policy does use simple language, but it is not transparent about its legal basis for data processing.
2. Purpose Limitation: The policy states that information is collected for ""providing and improving the service,"" but provides no clear definitions or limitations of these purposes.
3. Data Minimization: The policy does not explicitly promise to limit data collection to necessary data and lists a broad range of permissions it may ask for, indicating potential overreach.
4. Accuracy: The policy does not contain any provisions for users to make updates or corrections to their data.
5. Storage Limitation: The policy does not define retention periods or criteria for determining these periods, nor does it mention processes for data deletion or anonymization.
6. Integrity and Confidentiality: The policy tells users to remember that no electronic storage solution is 100% secure, which fails to reassure users of the measures they're taking to protect their data."
73,5M+,Good Standard,"The policy fulfils the criteria for a good standard privacy policy based on the GDPR Article 5 provisions. Here are the reasons organized by provisions:
- Lawfulness, Fairness, and Transparency: The policy transparently states that it does not collect any personal information or face data. It communicates the details about data handling in simple language.
- Purpose Limitation: The policy is clear that information collected through tools like Crashlytics is only used to fix bugs and improve the app. It states no data will be used for other purposes without consent.
- Data Minimization: The policy commits to not collecting any unnecessary data—only non-personal information.
- Accuracy: Although the policy doesn't provide clear means for users to update or correct their data, it somewhat indirectly addresses this topic by stating they do not collect personal information.
- Storage Limitation: While explicit retention periods aren't defined, the policy insists that no personal data is collected or stored, implying no retention.
- Integrity, and Confidentiality: The policy declares employing administrative, physical, and electronic methods to protect non-personal data against unauthorized access and use. But it's not explicitly stating the use of specific security practices like encryption."
74,5K+,Bad Standard,"The policy misses many key details required to meet Good Standard criteria. It does not clearly state its legal basis for data processing, violating the ""Lawfulness, Fairness, and Transparency"" criteria. The policy does not clearly specify the purposes for data collection or assure that data will not be used for incompatible purposes without additional consent, hence not meeting the ""Purpose Limitation"" criteria. In terms of ""Data Minimization"", ""Accuracy"", ""Storage Limitation"", and ""Integrity and Confidentiality"", the policy does not provide any clear instructions, definitions, or methods. Moreover, no mention of security measures to protect user data can be found in the policy. Therefore, the Privacy Policy of SmartGPT is classified as Bad Standard."
75,5K+,Good Standard,"The privacy policy does a good job in covering key aspects of GDPR Article 5:
1. Lawfulness, Fairness, and Transparency: The policy clearly explains the purpose of collecting the data, which is mainly to provide, optimize and manage the games and services, enabling social network integration and for advertising purposes.
2. Purpose Limitation: The intended purpose for the data collection is stated and limitations are provided such as consent and satisfying mandatory laws.
3. Data Minimization: The policy collects basic personal and non-personal information necessary for users to utilize their service.
4. Accuracy: It is mentioned in the policy that users have the right to make corrections to the information if they find it incorrect.
5. Storage Limitation: It is stated the data will be stored as long as is necessary or as long as the law allows.
6. Integrity and Confidentiality: The policy outlines approaches to ensure data security such as utilizing multiple security technologies and procedures to prevent unauthorized data access, use or disclosure.Only downside is that policy is missing the clear retention periods and criteria for determining these periods, which is important aspect in GDPR."
76,5K+,Good Standard,"The privacy policy of the AIProject Chatbot Pro application is generally in a good standard. The reasons are as follows, for each article of GDPR Article 5:
- Lawfulness, Fairness, and Transparency: The policy explains in simple language what information is collected and why, and acknowledges the legal basis for data processing.
- Purpose Limitation: The policy clearly defines that the data will be used only for the purpose of improving the application, and it does not state that it uses the data for other incompatible purposes.
- Data Minimization: The policy mentions that the application will only collect data that is necessary and relevant for it to function.
- Accuracy: Users have the right to access, rectify, or delete their data as outlined in the User Rights section.
- Storage Limitation: The policy states that data will be kept as long as necessary to provide the service, and once it is not needed anymore, it will be disposed off securely or anonymised.
- Integrity and Confidentiality: The policy mentions the use of appropriate technical measures to prevent unauthorized access to personal data, although it does acknowledge that no method is 100% secure.
However, it does not clearly mention practices such as encryption and regular security assessments, which might need to be elaborated for more comprehensive compliance to GDPR standards."
77,5K+,Bad Standard,"The policy misses key elements that would make it a Good Standard policy, according to the GDPR Article 5. It lacks clear information about purpose limitation, data minimization, and accuracy. It does not define the specific purposes for data collection or the limitation of data use for different purposes, and lacks mechanisms for users to update or correct their data. Additionally, it does not detail how the company assures accuracy of users' data. Additionally, while the policy does mention security measures, it doesn't provide specific details about these measures, such as regular security assessments or practices. The policy also lacks clear definitions about retention period of user data - there is no process defined for data deletion or anonymization after the purpose is fulfilled."
78,1M+,Good Standard,"The policy explains the legal basis for data processing, stating that the privacy policy discloses the personally-identifying information only to those of its employees that need to conduct business on behalf of the website. It maintains transparency by explaining what type of data is collected and how it's used. The policy also ensures data minimization, collecting only necessary user data, spending a large section on explaining the use of cookies. It shows commitment to accuracy and gives users the right to opt out from cookies which indirectly allows them to correct their data. In terms of storage limitation, the policy vaguely states that it 'takes all measures reasonably necessary to protect against the unauthorized access, use, alteration, or destruction of potentially personally-identifying and personally-identifying information' but it did not clearly state the time period for data storage and process for data deletion/anonymization. In terms of confidentiality, even though the policy acknowledged that no method of transmission is 100% secure, it committed to use commercially acceptable means to protect the users' personal information."
79,1M+,Good Standard,"This privacy policy goes to significant lengths to ensure it meets the Good Standard Assessment based on GDPR Article 5:
1. Lawfulness, Fairness, and Transparency: The policy provides an explicit statement regarding the fair, transparent, and lawful use of data. It makes clear that data will only be used in accordance with user consent and for the specified purposes.
2. Purpose Limitation: It articulates clearly the different purposes for collecting and using data (for example, communication, research and development, legal obligations).
3. Data Minimization: The policy explains the types of data it collects, which appear to be limited to what is necessary for their service. It also makes clear that personal data are not stored on their servers but through third-party services with their own privacy policies.
4. Accuracy: The users are empowered to request updates to personal data that is undergoing processing, ensuring that data stays correct and up-to-date.
5. Storage Limitation: The data retention period is specified -- up to 12 months unless required or allowed otherwise by law. Also, there is a clause for data deletion request by users.
6. Integrity and Confidentiality: The policy assures encryption and industry-standard measures to ensure data security and confidentiality.
Moreover, applicable sections to cover users in certain regions such as California and the EU further strengthen the policy’s adherence to local/region-specific regulatory standards."
80,1M+,Good Standard,"The privacy policy of the ""Airport Flights Status"" app is generally compliant with the GDPR and thus I classify it as of Good Standard. Here are the specific sections explaining why:
1. Lawfulness, Fairness, and Transparency: The policy clearly states its legal basis for data processing, it is transparent about when and why it collects data, and it's written in a language that is easy for users to understand.
2. Purpose Limitation: The policy explains precisely when and why data is collected, such as when users contact the app's support or when using certain features. It assures that collected data is not used for other purposes.
3. Data Minimization: The policy emphasizes that only necessary data is collected and that they don’t store sensitive information about the user, reducing the scope of data collection.
4. Accuracy: The policy allows users to update or correct their data by contacting the company.
5. Storage Limitation: The policy specifies a clear retention policy, promising to delete or anonymize data when there’s no longer a business need for it.
6. Integrity and Confidentiality: The policy places emphasis on applying adequate security measures to protect user data, such as using encryption and conducting regular security assessments.
However, improvements could be made towards categorically expressing the measures for data accuracy and also further explaining the criteria for data retention periods."
81,1M+,Good Standard,"The privacy policy meets the Good Standard requirements. It clearly mentions its lawful and fair data processing outline (Collection and Use section). The purpose limitation is addressed as the policy states that data collected is used to respond to users or for fulfilling their requests. The data minimization principle is implied in the sentence ""We only have access to/collect information that you voluntarily give us via email or other direct contact from you."" In terms of accuracy, users are allowed to see, change, or delete their data at any time. The 'Storage Limitation' aspect isn't explicitly mentioned but the policy states user data can be deleted at their request. Lastly, the principle of 'Integrity and Confidentiality' is respected as measures for securing data online and offline, including encryption and limited access, are described in the 'Security' section."
82,1M+,Good Standard,"The policy details the legal bases for processing information, namely for compliance with contractual obligations and for legitimate business purposes, which covers the principle of Lawfulness, Fairness, and Transparency. The document also clearly states the purposes for each type of data collected, highlighting the Purpose Limitation principle.
The policy shows an adherence to the Data Minimization principle by clearly stating that information is collected for specific purposes and discourages users from sharing sensitive personal information.
In terms of Accuracy, the need for user details like email address and phone number for identity verification implies an inherent accuracy measure, and mechanisms like third-party application login help verify identity. However, the policy could improve by specifying ways for users to update or correct their data.
The Storage Limitation principle is less clear in this privacy policy as it does not provide clear information on data retention periods and deletion or anonymization processes after their purpose is fulfilled.
The policy shows evidence for Integrity and Confidentiality, stating that user account information is not shared with third-party LLMs or developers and there are practices in place to anonymize data for user research. The use of third-party services like billing providers also suggests that there are at least some security measures in place. However, the policy could improve by providing more details about these security measures, such as the use of encryption or regular security assessments."
83,1M+,Good Standard,"The privacy policy provides a comprehensive and transparent outline of how personal information is handled. The policy addresses all six assessment indicators:
1. Lawfulness, Fairness, and Transparency: The policy provides clear explanations of its legal basis for data processing, stating that they only process personal information for the purposes outlined in the policy.
2. Purpose Limitation: The purposes for data collection are clearly defined. The policy states that information is used for specific purposes only, such as improving the services, maintaining security, and managing user accounts, and ensures data are not used for incompatible purposes without additional consent.
3. Data Minimization: The policy specifies that it collects only necessary data, such as user ID, email address, contact details, etc., and limits data collection to what is essential for the stated purpose.
4. Accuracy: The policy provides mechanisms for users to update or correct their data, stating that users can review or change their personally identifiable information at any time by accessing their account settings.
5. Storage Limitation: The policy outlines a clear deletion process. Users can request account deactivation or deletion, and the company performs this in accordance with their deactivation policy and applicable law.
6. Integrity and Confidentiality: The policy clearly states adequate security measures are in place to protect information. It limits access to information to authorized employees and contractors who need to know that information to operate, develop or improve the services. Additionally, all third parties, who might get access to user data, are required to respect the security of their personal information and to treat it in accordance with the law.
Overall, the privacy policy aligns with the compliance criteria, demonstrating a good standard."
84,1M+,Good Standard,"The privacy policy is comprehensive, clear, and transparent about all processing activities, ensuring lawfulness, fairness, and transparency.
1. Data minimization is present as it collects only necessary data for providing the app's functionality.
2. There are clear retention periods for data and an emphasis on only keeping data as long as needed.
3. The policy provides detailed information on how data is shared, including with third parties. The company also gives assurance about data protection measures of third parties.
4. There are security measures mentioned to keep the data safe, including encryption.
5. The policy clearly outlines how users can exercise their rights, such as correction, deletion, accessing their data, and making complaints.
6. It mentions the legal basis for processing is performance of a contract, which is consistent with GDPR Article 5 standards.
7. It provides the procedures for users to opt out from data tracking and location data processing.
8. The policy also includes the specific provision for underaged users (children) in compliance with GDPR standards.
However, the policy could be improved by adding details on how they ensure data accuracy and how users can update their data."
85,1M+,Good Standard,"The privacy policy of AppNation seems to adhere to the GDPR standards.
1. Lawfulness, Fairness, and Transparency: The policy clearly explains how data is collected, used, and shared. It also identifies third-party recipients of the data, and explains why this is necessary. This transparency extends to details about the legal basis of processing, commercial transactions, profiling, location data, and more.
2. Purpose Limitation: The policy clearly mentions the specific purposes for which personal data is collected, used, and shared. They avoid using data for incompatible purposes without additional consent.
3. Data Minimization: They explain that they only collect necessary data for specific purposes, and seek user consent where required.
4. Accuracy: User can control, modify, and remove data shared through the service, allowing for corrections to be made to inaccurate data. Also, users have rights to rectification and erasure of inaccurate data.
5. Storage Limitation: The policy mentions that it deletes account data upon request, and also explains its practice of purging facial data one month after its creation, demonstrating limited data retention.
6. Integrity and Confidentiality: The policy mentions taking substantial efforts to ensure data privacy and uses security methods to protect data, even though it could elaborate more on specific protocols and measures used.
7. Children's Data: The policy clearly states that the service doesn't knowingly collect data from children under 13.
The policy also includes information on users' rights according to GDPR such as access, object, rectification and erasure, withdraw consent, and data portability. Users are also provided a contact method for any questions or issues about the policy.
However, given that the document also lacks some specifics, further review may be required to absolutely ensure it adheres to the best standard."
